Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.01     0.01    50006     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_Vector_impl_data()
 50.00      0.01     0.01    50001     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      0.01     0.00   890010     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.01     0.00   820008     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::~new_allocator()
  0.00      0.01     0.00   800008     0.00     0.00  std::__shared_ptr<ndn::Buffer const, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.01     0.00   672008     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ndn::Block*>(ndn::Block*, ndn::Block*)
  0.00      0.01     0.00   672008     0.00     0.00  void std::_Destroy<ndn::Block*>(ndn::Block*, ndn::Block*)
  0.00      0.01     0.00   662008     0.00     0.00  void std::_Destroy<ndn::Block*, ndn::Block>(ndn::Block*, ndn::Block*, std::allocator<ndn::Block>&)
  0.00      0.01     0.00   660008     0.00     0.00  std::allocator<ndn::Block>::~allocator()
  0.00      0.01     0.00   660003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00   660003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_M_deallocate(ndn::Block*, unsigned long)
  0.00      0.01     0.00   660003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_M_get_Tp_allocator()
  0.00      0.01     0.00   660003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::~_Vector_base()
  0.00      0.01     0.00   620003     0.00     0.00  std::shared_ptr<ndn::Buffer const>::~shared_ptr()
  0.00      0.01     0.00   610003     0.00     0.00  std::vector<ndn::Block, std::allocator<ndn::Block> >::~vector()
  0.00      0.01     0.00   560005     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::new_allocator(__gnu_cxx::new_allocator<ndn::Block> const&)
  0.00      0.01     0.00   480008     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.01     0.00   480008     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.01     0.00   480006     0.00     0.00  std::remove_reference<std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl&>::type&& std::move<std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl&>(std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl&)
  0.00      0.01     0.00   480001     0.00     0.00  ndn::Block::~Block()
  0.00      0.01     0.00   460008     0.00     0.00  std::remove_reference<std::shared_ptr<ndn::Buffer const>&>::type&& std::move<std::shared_ptr<ndn::Buffer const>&>(std::shared_ptr<ndn::Buffer const>&)
  0.00      0.01     0.00   430008     0.00     0.00  std::__shared_ptr<ndn::Buffer const, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<ndn::Buffer const, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      0.01     0.00   394006     0.00     0.00  ndn::Block&& std::forward<ndn::Block>(std::remove_reference<ndn::Block>::type&)
  0.00      0.01     0.00   392011     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::_M_max_size() const
  0.00      0.01     0.00   360017     0.00     0.00  std::iterator_traits<unsigned char const*>::iterator_category std::__iterator_category<unsigned char const*>(unsigned char const* const&)
  0.00      0.01     0.00   360016     0.00     0.00  unsigned char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned char>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      0.01     0.00   360016     0.00     0.00  std::iterator_traits<unsigned char const*>::difference_type std::__distance<unsigned char const*>(unsigned char const*, unsigned char const*, std::random_access_iterator_tag)
  0.00      0.01     0.00   360016     0.00     0.00  unsigned char* std::__copy_move_a2<false, unsigned char const*, unsigned char*>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      0.01     0.00   360005     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      0.01     0.00   300005     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      0.01     0.00   260009     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::new_allocator()
  0.00      0.01     0.00   250000     0.00     0.00  std::__shared_ptr<ndn::Buffer const, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<ndn::Buffer const, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.01     0.00   250000     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      0.01     0.00   250000     0.00     0.00  ndn::Block* std::__addressof<ndn::Block>(ndn::Block&)
  0.00      0.01     0.00   250000     0.00     0.00  void std::_Destroy<ndn::Block>(ndn::Block*)
  0.00      0.01     0.00   246004     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::max_size() const
  0.00      0.01     0.00   240005     0.00     0.00  std::allocator<ndn::Block>::allocator(std::allocator<ndn::Block> const&)
  0.00      0.01     0.00   240003     0.00     0.00  std::shared_ptr<ndn::Buffer const>::shared_ptr(std::shared_ptr<ndn::Buffer const>&&)
  0.00      0.01     0.00   240003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl::_Vector_impl(std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl&&)
  0.00      0.01     0.00   240003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_impl_data&&)
  0.00      0.01     0.00   240003     0.00     0.00  std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >::_Vector_base(std::_Vector_base<ndn::Block, std::allocator<ndn::Block> >&&)
  0.00      0.01     0.00   240003     0.00     0.00  std::vector<ndn::Block, std::allocator<ndn::Block> >::vector(std::vector<ndn::Block, std::allocator<ndn::Block> >&&)
  0.00      0.01     0.00   220003     0.00     0.00  ndn::Block::Block(ndn::Block&&)
  0.00      0.01     0.00   210047     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00   180003     0.00     0.00  void __gnu_cxx::new_allocator<ndn::Block>::construct<ndn::Block, ndn::Block>(ndn::Block*, ndn::Block&&)
  0.00      0.01     0.00   150013     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00      0.01     0.00   146007     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::allocate(unsigned long, void const*)
  0.00      0.01     0.00   146006     0.00     0.00  __gnu_cxx::new_allocator<ndn::Block>::deallocate(ndn::Block*, unsigned long)
  0.00      0.01     0.00   146006     0.00     0.00  std::allocator_traits<std::allocator<ndn::Block> >::deallocate(std::allocator<ndn::Block>&, ndn::Block*, unsigned long)
  0.00      0.01     0.00   140001     0.00     0.00  void __gnu_cxx::new_allocator<ndn::Block>::destroy<ndn::Block>(ndn::Block*)
  0.00      0.01     0.00   103085     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.01     0.00   100012     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      0.01     0.00   100012     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::_M_max_size() const
  0.00      0.01     0.00   100012     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      0.01     0.00   100008     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      0.01     0.00    80000     0.00     0.00  std::remove_reference<ndn::Block&>::type&& std::move<ndn::Block&>(ndn::Block&)
  0.00      0.01     0.00    66318     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00    50024     0.00     0.00  std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*>::_Deque_iterator(std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*> const&)
  0.00      0.01     0.00    50006     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      0.01     0.00    50006     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator()
  0.00      0.01     0.00    50006     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00      0.01     0.00    50006     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long)
  0.00      0.01     0.00    50006     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::max_size(std::allocator<unsigned char> const&)
  0.00      0.01     0.00    50006     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_S_max_size(std::allocator<unsigned char> const&)
  0.00      0.01     0.00    50003     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    50001     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      0.01     0.00    50001     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00    50001     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      0.01     0.00    50001     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00      0.01     0.00    50001     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::deallocate(std::allocator<unsigned char>&, unsigned char*, unsigned long)
  0.00      0.01     0.00    50001     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
  0.00      0.01     0.00    50001     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      0.01     0.00    50001     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      0.01     0.00    50000     0.00     0.00  std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*>::operator*() const
  0.00      0.01     0.00    45000     0.00     0.00  std::_Deque_iterator<ndn::Interest, ndn::Interest&, ndn::Interest*>::_S_buffer_size()
  0.00      0.01     0.00    40000     0.00     0.00  ndn::Interest&& std::forward<ndn::Interest>(std::remove_reference<ndn::Interest>::type&)
  0.00      0.01     0.00    35000     0.00     0.00  std::_Deque_iterator<ndn::Interest, ndn::Interest&, ndn::Interest*>::_M_set_node(ndn::Interest**)
  0.00      0.01     0.00    30312     0.00     0.00  std::shared_ptr<ndn::Buffer const>&& std::forward<std::shared_ptr<ndn::Buffer const> >(std::remove_reference<std::shared_ptr<ndn::Buffer const> >::type&)
  0.00      0.01     0.00    30005     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::begin()
  0.00      0.01     0.00    30000     0.00     0.00  ndn::Name::~Name()
  0.00      0.01     0.00    30000     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::front()
  0.00      0.01     0.00    30000     0.00     0.00  std::queue<ndn::Block, std::deque<ndn::Block, std::allocator<ndn::Block> > >::front()
  0.00      0.01     0.00    30000     0.00     0.00  std::remove_reference<ndn::Interest&>::type&& std::move<ndn::Interest&>(ndn::Interest&)
  0.00      0.01     0.00    22024     0.00     0.00  std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*>::_S_buffer_size()
  0.00      0.01     0.00    22012     0.00     0.00  std::_Deque_base<ndn::Block, std::allocator<ndn::Block> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    22000     0.00     0.00  ndn::Block const& std::forward<ndn::Block const&>(std::remove_reference<ndn::Block const&>::type&)
  0.00      0.01     0.00    20010     0.00     0.00  std::_Deque_iterator<std::shared_ptr<ndn::Buffer const>, std::shared_ptr<ndn::Buffer const>&, std::shared_ptr<ndn::Buffer const>*>::_Deque_iterator(std::_Deque_iterator<std::shared_ptr<ndn::Buffer const>, std::shared_ptr<ndn::Buffer const>&, std::shared_ptr<ndn::Buffer const>*> const&)
  0.00      0.01     0.00    20005     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::end()
  0.00      0.01     0.00    20004     0.00     0.00  std::_Deque_iterator<ndn::Interest, ndn::Interest&, ndn::Interest*>::_Deque_iterator(std::_Deque_iterator<ndn::Interest, ndn::Interest&, ndn::Interest*> const&)
  0.00      0.01     0.00    20004     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00      0.01     0.00    20001     0.00     0.00  __gnu_cxx::new_allocator<ndn::Interest>::_M_max_size() const
  0.00      0.01     0.00    20000     0.00     0.00  ndn::PacketBase::~PacketBase()
  0.00      0.01     0.00    20000     0.00     0.00  ndn::TagHost::~TagHost()
  0.00      0.01     0.00    20000     0.00     0.00  ndn::Interest::~Interest()
  0.00      0.01     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<ndn::Name>::~new_allocator()
  0.00      0.01     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::~new_allocator()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Deque_iterator<ndn::Interest, ndn::Interest&, ndn::Interest*>::operator*() const
  0.00      0.01     0.00    20000     0.00     0.00  std::_Deque_iterator<std::shared_ptr<ndn::Buffer const>, std::shared_ptr<ndn::Buffer const>&, std::shared_ptr<ndn::Buffer const>*>::operator*() const
  0.00      0.01     0.00    20000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::shared_ptr<ndn::Tag> >, std::_Select1st<std::pair<int const, std::shared_ptr<ndn::Tag> > >, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::_M_mbegin() const
  0.00      0.01     0.00    20000     0.00     0.00  std::allocator<ndn::Name>::~allocator()
  0.00      0.01     0.00    20000     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::~allocator()
  0.00      0.01     0.00    20000     0.00     0.00  std::__weak_ptr<ndn::Interest, (__gnu_cxx::_Lock_policy)2>::__weak_ptr()
  0.00      0.01     0.00    20000     0.00     0.00  std::__weak_ptr<ndn::Interest, (__gnu_cxx::_Lock_policy)2>::~__weak_ptr()
  0.00      0.01     0.00    20000     0.00     0.00  std::shared_ptr<ndn::Buffer const>::shared_ptr(std::shared_ptr<ndn::Buffer const> const&)
  0.00      0.01     0.00    20000     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ndn::Name*>(ndn::Name*, ndn::Name*)
  0.00      0.01     0.00    20000     0.00     0.00  std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_M_deallocate(ndn::Name*, unsigned long)
  0.00      0.01     0.00    20000     0.00     0.00  std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::~_Vector_base()
  0.00      0.01     0.00    20000     0.00     0.00  std::__weak_count<(__gnu_cxx::_Lock_policy)2>::__weak_count()
  0.00      0.01     0.00    20000     0.00     0.00  std::__weak_count<(__gnu_cxx::_Lock_policy)2>::~__weak_count()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*>::operator--()
  0.00      0.01     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<ndn::Block> >::destroy<ndn::Block>(std::allocator<ndn::Block>&, ndn::Block*)
  0.00      0.01     0.00    20000     0.00     0.00  void std::allocator_traits<std::allocator<ndn::Block> >::construct<ndn::Block, ndn::Block>(std::allocator<ndn::Block>&, ndn::Block*, ndn::Block&&)
  0.00      0.01     0.00    20000     0.00     0.00  std::enable_shared_from_this<ndn::Interest>::~enable_shared_from_this()
  0.00      0.01     0.00    20000     0.00     0.00  std::map<int, std::shared_ptr<ndn::Tag>, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::~map()
  0.00      0.01     0.00    20000     0.00     0.00  ndn::Block& std::deque<ndn::Block, std::allocator<ndn::Block> >::emplace_back<ndn::Block>(ndn::Block&&)
  0.00      0.01     0.00    20000     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::back()
  0.00      0.01     0.00    20000     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::pop_front()
  0.00      0.01     0.00    20000     0.00     0.00  std::deque<ndn::Block, std::allocator<ndn::Block> >::push_back(ndn::Block&&)
  0.00      0.01     0.00    20000     0.00     0.00  std::queue<ndn::Block, std::deque<ndn::Block, std::allocator<ndn::Block> > >::pop()
  0.00      0.01     0.00    20000     0.00     0.00  std::queue<ndn::Block, std::deque<ndn::Block, std::allocator<ndn::Block> > >::push(ndn::Block&&)
  0.00      0.01     0.00    20000     0.00     0.00  std::vector<ndn::Name, std::allocator<ndn::Name> >::~vector()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::shared_ptr<ndn::Tag> >, std::_Select1st<std::pair<int const, std::shared_ptr<ndn::Tag> > >, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::_Rb_tree_impl<std::less<int>, true>::~_Rb_tree_impl()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::shared_ptr<ndn::Tag> >, std::_Select1st<std::pair<int const, std::shared_ptr<ndn::Tag> > >, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::_M_begin()
  0.00      0.01     0.00    20000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::shared_ptr<ndn::Tag> >, std::_Select1st<std::pair<int const, std::shared_ptr<ndn::Tag> > >, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::shared_ptr<ndn::Tag> > >*)
  0.00      0.01     0.00    20000     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::shared_ptr<ndn::Tag> >, std::_Select1st<std::pair<int const, std::shared_ptr<ndn::Tag> > >, std::less<int>, std::allocator<std::pair<int const, std::shared_ptr<ndn::Tag> > > >::~_Rb_tree()
  0.00      0.01     0.00    20000     0.00     0.00  std::weak_ptr<ndn::Interest>::~weak_ptr()
  0.00      0.01     0.00    20000     0.00     0.00  std::remove_reference<std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_Vector_impl&>::type&& std::move<std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_Vector_impl&>(std::_Vector_base<ndn::Name, std::allocator<ndn::Name> >::_Vector_impl&)
  0.00      0.01     0.00    20000     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.01     0.00    20000     0.00     0.00  void std::_Destroy<ndn::Name*>(ndn::Name*, ndn::Name*)
  0.00      0.01     0.00    20000     0.00     0.00  void std::_Destroy<ndn::Name*, ndn::Name>(ndn::Name*, ndn::Name*, std::allocator<ndn::Name>&)
  0.00      0.01     0.00    16024     0.00     0.00  std::_Deque_iterator<ndn::Block, ndn::Block&, ndn::Block*>::_M_set_node(ndn::Block**)
  0.00      0.01     0.00    10005     0.00     0.00  std::_Deque_base<std::shared_ptr<ndn::Buffer const>, std::allocator<std::shared_ptr<ndn::Buffer const> > >::_M_get_Tp_allocator()
  0.00      0.01     0.00    10002     0.00     0.00  std::_Deque_base<ndn::Interest, std::allocator<ndn::Interest> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00    10002     0.00     0.00  std::_Deque_base<ndn::Interest, std::allocator<ndn::Interest> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    10002     0.00     0.00  std::deque<std::shared_ptr<ndn::Buffer const>, std::allocator<std::shared_ptr<ndn::Buffer const> > >::end()
  0.00      0.01     0.00    10002     0.00     0.00  std::deque<std::shared_ptr<ndn::Buffer const>, std::allocator<std::shared_ptr<ndn::Buffer const> > >::begin()
  0.00      0.01     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<ndn::Interest>::deallocate(ndn::Interest*, unsigned long)
  0.00      0.01     0.00    10001     0.00     0.00  __gnu_cxx::new_allocator<ndn::Interest>::allocate(unsigned long, void const*)
  0.00      0.01     0.00    10001     0.00     0.00  std::_Deque_base<ndn::Interest, std::allocator<ndn::Interest> >::_M_allocate_node()
  0.00      0.01     0.00    10001     0.00     0.00  std::_Deque_base<ndn::Interest, std::allocator<ndn::Interest> >::_M_deallocate_node(ndn::Interest*)
  0.00      0.01     0.00    10001     0.00     0.00  std::allocator_traits<std::allocator<ndn::Interest> >::deallocate(std::allocator<ndn::Interest>&, ndn::Interest*, unsigned long)
  0.00      0.01     0.00    10001     0.00     0.00  std::allocator_traits<std::allocator<ndn::Interest> >::allocate(std::allocator<ndn::Interest>&, unsigned long)
  0.00      0.01     0.00    10001     0.00     0.00  std::deque<ndn::Interest, std::allocator<ndn::Interest> >::end()
  0.00      0.01     0.00    10001     0.00     0.00  std::deque<ndn::Interest, std::allocator<ndn::Interest> >::begin()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::PacketBase::PacketBase(ndn::PacketBase&&)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockParser::parse()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockParser::addBuf(std::shared_ptr<ndn::Buffer const>)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockParser::decode()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockEncoder::getEncoded()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockEncoder::makeInterest()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::BlockEncoder::encode()
  0.00      0.01     0.00    10000     0.00     0.00  ndn::Name::Name(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::Name::Name(ndn::Name&&)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::TagHost::TagHost(ndn::TagHost&&)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::Interest::Interest(ndn::Interest&&)
  0.00      0.01     0.00    10000     0.00     0.00  ndn::literals::time_literals::operator"" _s(unsigned long long)
  0.00      0.01     0.00    10000     0.00     0.00  __gnu_cxx::new_allocator<ndn::Name>::new_allocator(__gnu_cxx::new_allocator<ndn::Name> const&)
  0.00      0.01     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<ndn::Block>::construct<ndn::Block, ndn::Block const&>(ndn::Block*, ndn::Block const&)
  0.00      0.01     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<ndn::Interest>::destroy<ndn::Interest>(ndn::Interest*)
  0.00      0.01     0.00    10000     0.00     0.00  void __gnu_cxx::new_allocator<ndn::Interest>::construct<ndn::Interest, ndn::Interest>(ndn::Interest*, ndn::Interest&&)
